sol_per_pop,num_parents_mating,num_generations,keep_parents,parent_selection_type,crossover_type,mutation_type,mutation_percent_genes,num_genes,solution_fitness,duration
1000,200,10000,10,sss,single_point,random,3,45,-3,7.5750510692596436
1000,200,10000,10,sss,single_point,random,3,45,-4,5.4437549114227295
1000,200,10000,10,sss,single_point,random,3,45,-4,8.342146158218384
1000,200,10000,10,sss,single_point,random,3,45,-3,8.136239290237427
1000,200,10000,10,sss,single_point,random,3,45,-2,5.930185794830322
1000,200,10000,10,sss,single_point,random,3,45,-4,7.149132966995239
1000,200,10000,10,sss,single_point,random,3,45,-5,8.651011943817139
1000,200,10000,10,sss,single_point,random,3,45,-5,5.239201784133911
1000,200,10000,10,sss,single_point,random,3,45,0,10.588765144348145
1000,200,10000,10,sss,single_point,random,3,45,-7,4.739193677902222
1000,200,10000,10,sss,single_point,random,3,45,-5,9.031912088394165
1000,200,10000,10,sss,single_point,random,3,45,-4,10.744598627090454
1000,200,10000,10,sss,single_point,random,3,45,-6,5.239599704742432
1000,200,10000,10,sss,single_point,random,3,45,-6,5.642162084579468
1000,200,10000,10,sss,single_point,random,3,45,-3,11.067938089370728
1000,200,10000,10,sss,single_point,random,3,45,-4,6.786924839019775
1000,200,10000,10,sss,single_point,random,3,45,-5,7.6944050788879395
1000,200,10000,10,sss,single_point,random,3,45,-4,7.617514133453369
1000,200,10000,10,sss,single_point,random,3,45,-6,7.806732177734375
1000,200,10000,10,sss,single_point,random,3,45,-6,5.698670864105225
1000,200,10000,10,sss,single_point,random,3,45,-6,5.333585262298584
1000,200,10000,10,sss,single_point,random,3,45,-4,5.225776195526123
1000,200,10000,10,sss,single_point,random,3,45,-6,6.349901914596558
1000,200,10000,10,sss,single_point,random,3,45,-6,7.4531261920928955
1000,200,10000,10,sss,single_point,random,3,45,-4,6.648308992385864
1000,200,10000,10,sss,single_point,random,3,45,-3,7.901210069656372
1000,200,10000,10,sss,single_point,random,3,45,-3,7.5423619747161865
1000,200,10000,10,sss,single_point,random,3,45,-5,5.365734815597534
1000,200,10000,10,sss,single_point,random,3,45,-8,5.480731248855591
1000,200,10000,10,sss,single_point,random,3,45,-2,6.017993211746216
1000,200,10000,10,sss,single_point,random,3,45,-3,6.797759056091309
1000,200,10000,10,sss,single_point,random,3,45,-2,9.283730030059814
1000,200,10000,10,sss,single_point,random,3,45,-5,8.662259340286255
1000,200,10000,10,sss,single_point,random,3,45,-4,7.522216081619263
1000,200,10000,10,sss,single_point,random,3,45,-5,9.991761922836304
1000,200,10000,10,sss,single_point,random,3,45,-4,7.296678066253662
1000,200,10000,10,sss,single_point,random,3,45,-5,8.570247888565063
1000,200,10000,10,sss,single_point,random,3,45,-3,9.838295936584473
1000,200,10000,10,sss,single_point,random,3,45,-3,7.72748589515686
1000,200,10000,10,sss,single_point,random,3,45,-2,10.298089981079102
1000,200,10000,10,sss,single_point,random,3,45,-4,11.561277866363525
1000,200,10000,10,sss,single_point,random,3,45,-4,6.729237079620361
1000,200,10000,10,sss,single_point,random,3,45,-2,6.418571949005127
1000,200,10000,10,sss,single_point,random,3,45,-4,11.141515970230103
1000,200,10000,10,sss,single_point,random,3,45,-4,6.796195983886719
1000,200,10000,10,sss,single_point,random,3,45,-2,7.384008169174194
1000,200,10000,10,sss,single_point,random,3,45,-5,7.4790661334991455
1000,200,10000,10,sss,single_point,random,3,45,-2,9.365004062652588
1000,200,10000,10,sss,single_point,random,3,45,-4,5.718307018280029
1000,200,10000,10,sss,single_point,random,3,45,-3,6.985570192337036
1000,200,10000,10,sss,single_point,random,3,45,-4,6.662783861160278
1000,200,10000,10,sss,single_point,random,3,45,-4,8.290959119796753
1000,200,10000,10,sss,single_point,random,3,45,-2,10.152728796005249
1000,200,10000,10,sss,single_point,random,3,45,-5,6.843189001083374
1000,200,10000,10,sss,single_point,random,3,45,-4,7.742417097091675
1000,200,10000,10,sss,single_point,random,3,45,-3,11.620383024215698
1000,200,10000,10,sss,single_point,random,3,45,-3,7.522909879684448
1000,200,10000,10,sss,single_point,random,3,45,-3,5.4965879917144775
1000,200,10000,10,sss,single_point,random,3,45,-5,5.814873933792114
1000,200,10000,10,sss,single_point,random,3,45,0,7.617472887039185
1000,200,10000,10,sss,single_point,random,3,45,-4,8.058481216430664
1000,200,10000,10,sss,single_point,random,3,45,-4,7.542409896850586
1000,200,10000,10,sss,single_point,random,3,45,-4,6.488595962524414
1000,200,10000,10,sss,single_point,random,3,45,-5,8.34481430053711
1000,200,10000,10,sss,single_point,random,3,45,-4,5.995105981826782
1000,200,10000,10,sss,single_point,random,3,45,-4,6.2566797733306885
1000,200,10000,10,sss,single_point,random,3,45,-4,8.759196281433105
1000,200,10000,10,sss,single_point,random,3,45,-4,6.12608790397644
1000,200,10000,10,sss,single_point,random,3,45,-3,7.868326902389526
1000,200,10000,10,sss,single_point,random,3,45,-4,8.530924081802368
1000,200,10000,10,sss,single_point,random,3,45,-4,6.1659440994262695
1000,200,10000,10,sss,single_point,random,3,45,-5,10.705002069473267
1000,200,10000,10,sss,single_point,random,3,45,-5,9.102595090866089
1000,200,10000,10,sss,single_point,random,3,45,-4,6.851456165313721
1000,200,10000,10,sss,single_point,random,3,45,-6,6.15091609954834
1000,200,10000,10,sss,single_point,random,3,45,-2,10.511774778366089
1000,200,10000,10,sss,single_point,random,3,45,-2,10.520715951919556
1000,200,10000,10,sss,single_point,random,3,45,-2,9.131407022476196
1000,200,10000,10,sss,single_point,random,3,45,-4,5.444173097610474
1000,200,10000,10,sss,single_point,random,3,45,-4,5.821001052856445
1000,200,10000,10,sss,single_point,random,3,45,-4,7.19157075881958
